Timestamp,How would you categorize your knowledge of 17th Century art ,Do you know the name of this artwork ,"If I told you there is a movie name after it. in the movie, a young peasant maid working in the house of painter Johannes Vermee. Would you know the name?",If I gave you the hint (girl with a____)  . Do you name of this art work,Do you know the name of the art work after seeing the picture or after seeing the hints. (girl with a pearl earring) ,Did you know most of the name but didn’t know the full name 
4/26/2022 16:54:00,Novice,I am familiar with it but I don’t know the name,No,No,Still don’t know,No
4/26/2022 16:55:56,Novice,No,No,No,Still don’t know,I was completely lost
4/26/2022 16:56:07,Novice,I am familiar with it but I don’t know the name,No,Yes,After seeing both hints,Yes
4/26/2022 16:56:37,Novice,No,No,No,Still don’t know,I was completely lost
4/26/2022 16:57:03,Novice,I am familiar with it but I don’t know the name,No,No,Still don’t know,I was completely lost
4/26/2022 16:58:56,Intermediate,Yes,Yes,Yes,After seeing the pictures,No
4/26/2022 17:03:49,Novice,No,No,No,Still don’t know,I was completely lost
4/26/2022 17:03:55,Intermediate,Yes,Yes,Yes,After seeing the pictures,No
4/26/2022 17:09:51,Novice,No,No,Yes,After seeing both hints,No
4/26/2022 17:10:43,Novice,No,No,No,Still don’t know,No
4/26/2022 17:11:13,Novice,I am familiar with it but I don’t know the name,Yes,Yes,After seeing both hints,Yes
4/26/2022 17:11:25,Novice,No,No,No,Still don’t know,I was completely lost
4/26/2022 17:11:41,Novice,I am familiar with it but I don’t know the name,I am familiar but still don’t know the name,No,Still don’t know,I was completely lost
4/26/2022 17:12:03,Novice,No,No,Yes,After seeing both hints,I was completely lost
4/26/2022 17:16:53,Intermediate,Yes,Yes,Yes,After seeing the pictures,No
4/26/2022 17:19:38,Novice,I am familiar with it but I don’t know the name,No,Yes,After seeing both hints,No
4/26/2022 17:24:38,Novice,No,No,No,Still don’t know,I was completely lost
4/26/2022 17:24:44,Novice,I am familiar with it but I don’t know the name,No,No,Still don’t know,I was completely lost
4/26/2022 17:30:32,Novice,No,No,No,Still don’t know,I was completely lost
4/26/2022 17:33:01,Novice,I am familiar with it but I don’t know the name,Yes,Yes,After seeing both hints,I was completely lost
4/26/2022 17:39:21,Intermediate,Yes,Yes,Yes,After seeing the pictures,Yes
4/26/2022 17:40:58,Novice,Yes,Yes,Yes,After seeing the pictures,Yes
4/26/2022 17:42:37,Novice,I am familiar with it but I don’t know the name,No,No,Still don’t know,I was completely lost
4/26/2022 17:48:09,Novice,I am familiar with it but I don’t know the name,No,No,Still don’t know,Yes
4/26/2022 17:52:14,Novice,I am familiar with it but I don’t know the name,I am familiar but still don’t know the name,No,After seeing both hints,Yes
4/26/2022 17:54:31,Novice,No,No,Yes,Still don’t know,I was completely lost
4/26/2022 17:55:55,Intermediate,I am familiar with it but I don’t know the name,No,No,After seeing both hints,Yes
4/26/2022 18:06:19,Novice,I am familiar with it but I don’t know the name,I am familiar but still don’t know the name,No,After seeing both hints,No
4/26/2022 18:12:38,Novice,No,No,No,After seeing both hints,No
4/26/2022 18:28:56,Intermediate,I am familiar with it but I don’t know the name,I am familiar but still don’t know the name,No,After seeing both hints,Yes
4/26/2022 18:29:31,Novice,Yes,No,Yes,After seeing the pictures,Yes
4/26/2022 18:31:35,Intermediate,No,No,No,Still don’t know,I was completely lost
4/26/2022 18:53:13,Novice,I am familiar with it but I don’t know the name,No,Yes,After seeing the first hints,Yes
4/26/2022 19:01:05,Novice,Yes,Yes,Yes,After seeing the pictures,No
4/26/2022 21:02:52,Novice,No,No,No,Still don’t know,I was completely lost
4/26/2022 18:31:35,Intermediate,No,Yes,Yes ,After seeing the first hints,No
4/27/2022 2:43:21,Novice,No,No,No,Still don’t know,I was completely lost
